0,Control_1,Control_2,Control_3,Control_4,Control_5,Control_6,Control_7,Control_8,Control_9,Control_10,Control_11,Control_12,Control_13,Control_14,Control_15,Control_16,Control_17,Control_18,Control_19,Control_20,Control_51,C9-Patient_66,C9-Patient_67,C9-Patient_68,C9-Patient_69,C9-Patient_70,C9-Patient_71,C9-Patient_72,C9-Patient_73,C9-Patient_74,C9-Patient_75
chr7_74386428,0.65,0.59,0.72,0.7,0.73,0.7,0.64,0.59,0.72,0.74,0.61,0.84,0.78,0.66,0.7,0.85,0.68,0.77,0.76,0.7,0.57,0.48,0.43,0.4,0.51,0.53,0.47,0.46,0.55,0.33,0.39
chr4_75047983,0.8,0.81,0.69,0.74,0.8,0.94,0.68,0.67,0.68,0.66,0.78,0.81,0.85,0.66,0.8,0.68,0.6299999999999998,0.61,0.53,0.76,0.55,0.45,0.44,0.54,0.4,0.45,0.53,0.46,0.36,0.34,0.43
chr7_156921914,0.8,0.78,0.77,0.77,0.9,0.85,0.73,0.91,0.86,0.78,0.82,0.73,0.87,0.78,0.89,0.73,0.84,0.77,0.9,0.95,0.89,0.63,0.55,0.63,0.51,0.59,0.53,0.61,0.6,0.56,0.6
chr2_136200576,0.9,0.79,0.83,0.79,0.92,0.76,0.81,0.75,0.81,0.8,0.91,0.77,0.88,0.75,0.88,0.75,1.0,0.8,0.82,0.86,0.86,0.55,0.62,0.53,0.62,0.48,0.65,0.63,0.7,0.61,0.48
chr2_33600208,0.77,0.78,0.6,0.74,0.84,0.6,0.6,0.42,0.66,0.71,0.66,0.85,0.61,0.3,0.73,0.7,0.62,0.73,0.5589999999999999,0.64,0.76,0.25,0.35,0.44,0.39,0.18,0.46,0.33,0.23,0.3,0.52
chr4_186556054,0.74,0.8,0.88,0.66,0.57,0.85,0.9,0.8,0.69,0.78,1.0,0.72,0.9,0.72,0.76,0.65,0.87,0.81,0.93,0.94,0.85,0.5,0.6,0.46,0.61,0.46,0.48,0.54,0.53,0.53,0.49
chr2_74174456,0.79,0.69,0.52,0.9,0.77,0.85,0.92,0.85,0.93,0.9,0.87,0.73,0.95,1.0,0.8,0.81,0.88,0.82,0.8,0.88,0.82,0.56,0.38,0.47,0.65,0.55,0.61,0.62,0.63,0.59,0.48
chr7_38746523,0.62,0.58,0.28,0.6,0.41,0.47,0.59,0.62,0.42,0.65,0.51,0.64,0.59,0.48,0.67,0.53,0.61,0.51,0.46,0.75,0.58,0.29,0.26,0.15,0.25,0.39,0.29,0.3,0.38,0.22,0.23
chr20_45547318,0.8,0.8,0.77,0.82,0.79,0.72,0.88,0.63,0.8,0.92,0.74,0.8,0.82,0.71,0.75,0.74,0.81,0.64,0.71,0.86,0.81,0.48,0.51,0.47,0.62,0.61,0.53,0.61,0.59,0.5,0.5
chr3_170912835,0.9,0.73,0.7,0.85,0.82,0.79,0.87,0.81,0.83,0.75,0.94,0.8,0.83,0.84,0.89,0.84,0.8,0.82,0.87,0.87,0.96,0.65,0.63,0.55,0.62,0.63,0.49,0.56,0.61,0.67,0.61
chr5_112879098,0.65,0.51,0.61,0.51,0.37,0.42,0.4,0.53,0.33,0.69,0.5,0.72,0.71,0.46,0.44,0.53,0.56,0.48,0.4,0.74,0.5,0.25,0.21,0.26,0.31,0.36,0.28,0.29,0.24,0.25,0.15
chr2_237122538,0.52,0.36,0.32,0.43,0.3,0.34,0.45,0.57,0.4,0.48,0.33,0.42,0.76,0.38,0.42,0.39,0.38,0.31,0.42,0.51,0.45,0.14,0.23,0.19,0.29,0.29,0.18,0.17,0.2,0.14,0.14
chr17_21573948,0.76,0.66,0.78,0.53,0.58,0.61,0.6,0.61,0.55,0.75,0.5,0.69,0.56,0.61,0.56,0.64,0.53,0.86,0.72,0.78,0.63,0.35,0.32,0.32,0.48,0.39,0.51,0.29,0.28,0.4,0.43
chr6_16149144,0.83,0.9,0.86,0.89,0.95,0.77,0.9,0.73,0.95,0.83,0.94,0.92,0.95,1.0,0.88,1.0,0.82,0.92,0.96,0.92,0.76,0.51,0.7,0.59,0.64,0.6,0.58,0.75,0.58,0.68,0.62
chr21_42105803,0.9,0.78,0.9,0.92,0.93,0.74,0.85,0.91,0.8,0.84,0.75,0.8,0.88,0.85,0.75,0.71,0.7389655172413794,0.7389655172413794,0.75,0.96,0.75,0.57,0.48,0.52,0.61,0.71,0.55,0.63,0.5,0.62,0.47
chr3_22544404,0.76,0.81,0.75,0.71,0.69,0.82,0.8,0.73,0.8,0.45,0.76,0.93,0.7,0.87,0.5,0.6396666666666666,0.78,0.73,0.62,0.84,0.73,0.34,0.45,0.44,0.5,0.55,0.43,0.46,0.5,0.33,0.41
chr1_68381828,0.9,0.82,0.74,0.89,0.69,0.73,0.74,0.74,0.8,0.78,0.84,0.88,0.86,0.75,0.86,0.87,0.92,0.85,0.7,0.88,0.9,0.51,0.65,0.51,0.59,0.62,0.63,0.65,0.67,0.65,0.45
chr1_221988686,0.59,0.59,0.77,0.0,0.0,0.57,0.65,0.0,0.0,0.58,0.0,0.54,0.3303571428571429,0.64,0.3303571428571429,0.73,0.3303571428571429,0.81,0.86,0.76,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51
chr16_56047721,0.76,0.72,0.51,0.6,0.44,0.42,0.41,0.68,0.52,0.6,0.6,0.79,0.71,0.5,0.61,0.63,0.4,0.68,0.46,0.82,0.5,0.24,0.28,0.24,0.28,0.46,0.32,0.32,0.32,0.28,0.16
chr1_11983536,0.75,0.43,0.47,0.68,0.58,0.67,0.39,0.67,0.55,0.66,0.48,0.73,0.66,0.55,0.6,0.67,0.44,0.65,0.62,0.69,0.6,0.36,0.34,0.39,0.32,0.42,0.29,0.42,0.28,0.35,0.27
chr16_10085967,0.43,0.44,0.36,0.51,0.45,0.53,0.56,0.57,0.71,0.61,0.57,0.55,0.34,0.54,0.57,0.53,0.5,0.55,0.39,0.54,0.57,0.3,0.32,0.22,0.26,0.34,0.26,0.24,0.25,0.22,0.22
chr8_569051,0.7,0.68,0.6,0.7,0.7,0.72,0.8,0.72,0.69,0.6,0.64,0.8,0.7,0.7,0.8,0.77,0.75,0.54,0.65,0.77,0.71,0.5,0.53,0.52,0.45,0.5,0.47,0.46,0.49,0.53,0.42
chr10_64365667,0.73,0.83,0.66,0.83,0.82,0.53,0.75,0.64,0.81,0.9,0.76,0.85,0.83,0.69,0.74,0.8,0.78,0.73,0.83,0.66,0.71,0.6,0.47,0.56,0.56,0.54,0.41,0.56,0.5,0.5,0.4
chr2_234406285,0.9,0.84,0.62,0.8,0.76,0.8,0.84,0.86,0.86,0.85,0.76,0.88,0.84,0.91,0.76,0.86,0.81,0.88,0.88,0.87,0.85,0.54,0.58,0.54,0.57,0.7,0.6,0.65,0.51,0.61,0.54
chr22_17733384,0.83,0.8,0.78,0.86,0.86,0.84,0.93,0.9,0.83,0.83,0.92,0.8,0.75,0.84,0.79,0.9,0.94,0.66,0.87,0.92,0.91,0.57,0.57,0.63,0.67,0.64,0.56,0.67,0.65,0.54,0.5
chr10_133095100,0.88,0.84,0.76,0.85,0.83,0.83,0.91,0.77,0.8,0.9,0.77,0.91,0.74,0.82,0.84,0.83,0.85,0.84,1.0,0.94,0.87,0.72,0.67,0.63,0.65,0.65,0.66,0.64,0.65,0.59,0.51
chr3_101673342,0.74,0.87,0.75,0.75,0.73,0.92,0.89,0.72,0.94,0.8,0.9,0.82,0.89,0.86,0.89,0.95,0.86,0.93,0.92,0.91,0.78,0.56,0.54,0.63,0.61,0.61,0.5,0.72,0.62,0.68,0.6
chr3_113216022,0.86,0.82,0.7,0.8,0.77,0.77,0.72,0.84,0.85,0.66,0.79,0.78,0.84,0.81,0.67,0.9,0.85,0.76,0.82,0.87,0.77,0.54,0.59,0.52,0.66,0.61,0.52,0.53,0.59,0.46,0.5
chr16_911924,0.75,0.61,0.94,0.81,0.58,0.63,0.87,0.8,0.93,0.61,0.81,0.77,0.7,0.8,0.4,0.75,0.619655172413793,0.7,0.619655172413793,0.43,0.68,0.44,0.56,0.4,0.23,0.54,0.25,0.56,0.43,0.54,0.45
chr20_23656844,0.78,0.77,0.82,0.91,0.77,0.78,0.83,0.72,0.73,0.73,0.72,0.84,0.88,0.81,0.7,0.81,0.78,0.75,0.8,0.88,0.79,0.54,0.64,0.59,0.58,0.66,0.54,0.55,0.61,0.53,0.62
chr1_113887966,0.69,0.62,0.73,0.65,0.61,0.72,0.67,0.65,0.63,0.66,0.75,0.76,0.66,0.48,0.82,0.5,0.73,0.88,0.9,0.8,0.44,0.47,0.44,0.38,0.34,0.42,0.39,0.41,0.49,0.35,0.48
chr17_81478419,0.78,0.82,0.76,0.79,0.84,0.87,0.73,0.78,0.9,0.92,0.82,0.82,0.89,0.87,0.93,0.85,0.79,0.77,0.74,0.89,0.73,0.6,0.69,0.53,0.6,0.69,0.69,0.62,0.63,0.62,0.56
chr3_128080853,0.8,0.92,0.81,0.87,0.8,0.88,0.75,0.85,0.87,0.85,0.9,0.8,0.82,0.87,0.82,0.83,1.0,0.93,0.95,0.83,0.86,0.61,0.58,0.69,0.66,0.7,0.65,0.66,0.68,0.69,0.66
chr3_49089931,0.82,0.83,0.7,0.78,0.84,0.54,0.89,0.7,0.75,0.91,0.72,0.9,0.75,0.64,0.83,0.92,0.68,0.5,0.86,0.86,0.75,0.61,0.58,0.47,0.51,0.5,0.51,0.48,0.55,0.44,0.4
chr13_32416398,0.88,0.83,0.71,0.91,0.87,0.96,0.88,0.76,0.89,0.77,0.91,0.92,0.78,0.82,0.91,0.8,0.84,0.64,0.85,0.88,0.85,0.58,0.53,0.7,0.63,0.55,0.5,0.63,0.67,0.69,0.61
chr2_54662023,0.75,0.81,0.79,0.79,0.7,0.74,0.64,0.7,0.75,0.75,0.82,0.86,0.84,0.75,0.81,0.92,0.68,0.66,0.71,0.63,0.74,0.47,0.49,0.39,0.56,0.65,0.52,0.49,0.42,0.45,0.47
chr7_121575555,0.66,0.75,0.83,0.68,0.75,0.7,0.7,0.75,0.79,0.83,0.71,0.79,0.71,0.74,0.73,0.92,0.66,0.94,0.68,0.82,0.74,0.44,0.55,0.59,0.56,0.58,0.62,0.59,0.56,0.65,0.45
chr3_15873471,0.83,0.82,0.9,0.89,0.94,0.9,0.9,0.88,0.86,0.88,0.88,0.96,0.9,0.82,1.0,0.88,0.88,0.87,0.84,0.88,0.88,0.7,0.67,0.67,0.64,0.73,0.72,0.8,0.64,0.7,0.62
chr17_81855631,0.65,0.58,0.64,0.8,0.65,0.71,0.75,0.66,0.68,0.53,0.82,0.78,0.73,0.74,0.78,0.83,0.8,0.56,0.82,0.78,0.58,0.24,0.35,0.17,0.18,0.32,0.33,0.33,0.76,0.64,0.18
chr5_127966591,0.8462962962962962,0.84,0.87,0.92,0.9,1.0,0.9,0.9,0.91,1.0,0.91,0.95,0.89,0.94,0.87,0.9,0.8462962962962962,0.8462962962962962,0.92,1.0,0.8462962962962962,0.7,0.76,0.74,0.7,0.73,0.72,0.73,0.77,0.74,0.64
chr2_40209350,0.75,0.81,0.71,0.81,0.8,0.83,0.81,0.76,0.71,0.82,0.91,0.88,0.83,0.69,0.76,0.86,0.73,0.66,0.91,0.85,0.9,0.58,0.59,0.49,0.52,0.6,0.46,0.63,0.7,0.38,0.48
chr3_47007769,0.84,0.84,0.91,0.84,0.83,0.7,0.77,0.74,0.85,0.88,0.75,0.95,0.95,0.76,0.78,0.8,0.9,0.72,0.7,0.88,0.76,0.51,0.48,0.44,0.46,0.58,0.49,0.6,0.78,0.69,0.52
chr10_116524432,0.65,0.72,0.65,0.63,0.55,0.71,0.58,0.59,0.53,0.69,0.67,0.67,0.58,0.51,0.73,0.8,0.57,0.33,0.62,0.68,0.51,0.33,0.44,0.34,0.41,0.33,0.43,0.45,0.43,0.4,0.38
chr8_129353902,0.8,0.76,0.83,0.95,0.92,0.9,0.78,0.86,0.82,0.95,0.9,0.94,0.91,0.82,0.89,0.88,1.0,0.92,0.83,0.95,0.93,0.75,0.75,0.69,0.71,0.66,0.67,0.7,0.65,0.75,0.58
chr11_7519874,0.88,0.8,0.72,0.8,0.96,0.82,0.81,0.96,0.9,0.95,0.86,0.9,0.91,0.84,0.95,0.88,0.8,0.77,0.87,0.92,0.85,0.51,0.6,0.64,0.66,0.6,0.72,0.71,0.74,0.71,0.52
chr7_6051121,0.82,0.73,0.62,0.78,0.57,0.68,0.69,0.57,0.56,0.57,0.8,0.68,0.94,0.72,0.62,0.62,0.68,0.5,0.5,0.61,0.58,0.28,0.43,0.28,0.54,0.45,0.39,0.54,0.5,0.34,0.31
chr7_25327055,0.78,0.8,0.87,0.85,0.84,0.89,0.89,0.86,0.88,0.92,0.73,0.91,0.84,0.88,0.76,0.78,0.75,0.85,0.76,0.91,0.9,0.64,0.64,0.68,0.59,0.66,0.67,0.7,0.7,0.63,0.6
chr6_131013915,0.78,0.66,0.43,0.56,0.46,0.65,0.75,0.61,0.67,0.76,0.66,0.66,0.7,0.62,0.7,0.65,0.57,0.7,0.77,0.72,0.74,0.37,0.42,0.36,0.49,0.37,0.36,0.54,0.33,0.38,0.45
chr11_112167467,0.62,0.5,0.44,0.76,0.56,0.64,0.47,0.54,0.53,0.85,0.73,0.77,0.63,0.41,0.75,0.52,0.5,0.68,0.66,0.71,0.47,0.37,0.29,0.41,0.38,0.39,0.33,0.37,0.45,0.32,0.27
chr6_163231492,0.79,0.61,0.43,0.6,0.53,0.6,0.62,0.66,0.5,0.56,0.65,0.64,0.76,0.57,0.78,0.68,0.5,0.75,0.51,0.75,0.61,0.34,0.45,0.43,0.38,0.45,0.35,0.42,0.48,0.43,0.33
chr3_139576265,0.81,0.86,0.5,0.76,0.81,0.88,0.82,0.75,0.85,0.75,0.75,0.87,0.88,0.86,0.88,0.72,0.6,0.7103333333333334,0.7,0.89,0.92,0.38,0.53,0.5,0.6,0.55,0.52,0.67,0.6,0.52,0.58
chr9_84517276,0.84,0.88,0.82,0.73,0.82,0.85,0.81,0.79,0.78,0.77,0.83,0.9,0.89,0.87,0.83,0.88,0.75,0.72,0.89,0.9,0.82,0.63,0.7,0.69,0.6,0.65,0.68,0.65,0.64,0.58,0.6
chr16_68697691,1.0,0.89,0.84,0.92,0.88,0.88,0.9,0.91,0.96,0.91,0.88,0.97,0.97,0.89,0.91,0.96,0.86,0.94,0.95,0.92,0.78,0.64,0.73,0.73,0.71,0.65,0.64,0.78,0.82,0.7,0.56
chr14_96307598,0.76,0.84,0.8,0.86,0.86,0.84,0.88,0.8,0.9,0.82,0.8,0.78,0.87,0.74,0.83,0.85,0.94,0.81,0.85,0.9,0.82,0.66,0.67,0.71,0.59,0.72,0.68,0.63,0.62,0.68,0.56
chr7_2240469,0.91,0.23,0.84,0.0,0.5,0.5,0.37,1.0,0.33,0.0,0.21,0.83,1.0,0.45,0.54,0.5,0.6658620689655173,0.6658620689655173,0.69,0.63,0.78,0.94,0.89,0.85,0.88,0.97,0.86,0.88,0.95,0.88,0.9
chr5_15118270,0.8,0.82,0.66,0.77,0.75,0.81,0.84,0.8,0.82,0.65,0.82,0.83,0.87,0.85,0.81,0.88,0.78,0.82,0.85,0.83,0.86,0.49,0.53,0.48,0.59,0.53,0.56,0.64,0.66,0.6,0.57
chr11_109320643,0.79,0.82,0.76,0.65,0.79,0.7,0.78,0.6,0.75,0.79,0.75,0.78,0.86,0.8,0.75,0.7,0.7,0.68,0.83,0.77,0.64,0.44,0.62,0.59,0.38,0.61,0.63,0.54,0.56,0.46,0.54
chr16_911956,0.75,0.52,0.85,0.64,0.77,0.74,0.86,0.75,0.73,0.66,0.72,0.75,0.85,0.7,0.83,0.76,0.647,0.66,0.66,0.78,0.55,0.5,0.47,0.37,0.4,0.55,0.56,0.62,0.48,0.41,0.52
chr22_30341012,0.85,0.75,0.76,0.88,0.78,0.89,0.85,0.92,0.85,0.41,0.49,0.44,0.79,0.84,0.78,0.89,0.0,0.76,0.81,0.64,0.85,0.28,0.0,0.39,0.33,0.4,0.4,0.0,0.81,0.32,0.52
chr9_115084435,0.72,0.52,0.55,0.7,0.52,0.66,0.48,0.66,0.55,0.68,0.65,0.82,0.88,0.66,0.73,0.62,0.55,0.61,0.61,0.65,0.6,0.39,0.44,0.48,0.5,0.43,0.42,0.49,0.5,0.31,0.36
chr12_100503116,0.82,0.86,0.9,0.9,0.86,0.85,0.91,0.91,0.89,0.9,0.91,0.93,0.96,0.85,0.82,0.93,0.89,0.74,0.92,0.87,0.74,0.46,0.68,0.6,0.68,0.69,0.63,0.78,0.6,0.64,0.63
chr1_1392653,0.9,0.94,0.86,0.89,0.9,0.87,0.91,0.89,0.87,0.86,0.93,0.94,0.98,0.94,0.91,0.94,0.85,0.84,0.9,0.94,0.88,0.64,0.81,0.8,0.77,0.75,0.75,0.77,0.7,0.63,0.63
chr2_188395337,0.83,0.81,0.84,0.73,0.86,0.8,0.88,0.73,0.74,0.84,0.84,0.91,0.81,0.86,0.93,0.97,0.78,0.82,0.81,0.73,0.85,0.7,0.63,0.64,0.54,0.65,0.69,0.72,0.67,0.67,0.6
chr21_37062742,0.76,0.52,0.53,0.67,0.44,0.62,0.44,0.48,0.3,0.53,0.44,0.77,0.76,0.56,0.65,0.64,0.59,0.52,0.63,0.79,0.39,0.31,0.33,0.34,0.28,0.39,0.32,0.43,0.28,0.34,0.38
chr1_9607262,0.7,0.61,0.5,0.58,0.56,0.58,0.47,0.62,0.59,0.72,0.39,0.64,0.74,0.6,0.63,0.65,0.6,0.58,0.65,0.84,0.59,0.28,0.39,0.46,0.4,0.47,0.38,0.44,0.35,0.41,0.21
chr2_27640487,0.9,0.84,0.7,0.76,0.76,0.84,0.88,0.84,0.75,0.9,0.72,0.86,0.77,0.82,0.74,0.81,0.66,0.82,0.81,0.86,0.71,0.61,0.54,0.55,0.67,0.56,0.56,0.68,0.6,0.54,0.63
chr7_6020989,0.87,0.77,0.7,0.78,0.91,0.8,0.95,0.9,0.79,0.85,0.76,0.77,0.84,0.9,0.87,0.8,0.85,0.8,0.72,0.78,0.9,0.63,0.77,0.4,0.66,0.64,0.58,0.61,0.66,0.42,0.52
