0,Control_1,Control_2,Control_3,Control_4,Control_5,Control_6,Control_7,Control_8,Control_9,Control_10,Control_11,Control_12,Control_13,Control_14,Control_15,Control_16,Control_17,Control_18,Control_19,Control_20,sALS_21,sALS_22,sALS_23,sALS_24,sALS_25,sALS_26,sALS_27,sALS_28,sALS_29,sALS_30,sALS_31,sALS_33,sALS_34,sALS_35,sALS_36,sALS_37,sALS_38,sALS_39,sALS_40,Control_51
chr20_49793980,0.11,0.04,0.09,0.05,0.08,0.12,0.17,0.17,0.0,0.08,0.04,0.03,0.06,0.09,0.09,0.0,0.19,0.12,0.13,0.04,0.18,0.0,0.23,0.31,0.12,0.0,0.54,0.0,0.17,0.0,0.4,0.0,0.53,0.18,0.28,0.26,0.27,0.39,0.09,0.0
chr2_202777431,0.87,0.91,0.81,0.0,0.93,0.51,0.7,0.42,0.46,0.93,0.0,0.52,0.0,0.84,0.91,0.38,0.82,0.6,0.47,0.21,0.0,0.4872972972972974,0.51,0.0,0.55,0.4872972972972974,0.42,0.47,0.48,0.42,0.0,0.52,0.4872972972972974,0.04,0.95,0.53,1.0,0.0,0.0,0.85
chr16_28264920,0.0,0.0,0.0,0.02,0.38,0.0,0.59,0.0,0.0,0.0,0.48,0.0,0.49,0.47,0.0,0.31,0.0,0.33,0.0,0.0,0.75,0.64,0.02,0.42,0.57,0.46,0.0,0.0,0.87,0.47,0.0,0.01,0.0,0.48,0.48,0.53,0.52,0.0,0.43,0.0
chr3_58355369,0.07,0.03,0.03,0.0,0.23,0.17,0.13,0.13,0.1,0.07,0.17,0.0,0.05,0.15,0.23,0.21,0.16,0.1,0.25,0.1,0.19,0.16,0.21,0.34,0.04,0.02,0.44,0.05,0.23,0.24,0.42,0.18,0.43,0.27,0.16,0.16,0.27,0.35,0.16,0.07
chr7_66377556,0.83,0.48,0.04,0.8,0.37,0.33,0.82,0.36,0.36,0.44,0.95,0.5,0.0,0.61,0.9,0.9,0.47,0.5,0.75,0.87,0.38,0.26,0.88,0.87,0.53,0.0,0.48,0.0,0.81,0.4841025641025642,0.34,0.0,0.38,0.85,0.45,0.48,0.39,0.0,0.0,0.5
chr11_113374325,0.86,0.51,0.18,0.46,0.0,0.0,0.0,0.0,0.91,0.0,0.45,0.34,0.0,0.0,0.8,0.0,0.62,0.47,0.0,0.44,0.0,0.93,0.93,0.52,0.0,0.7,0.95,0.51,0.88,0.37,0.48,0.95,0.0,0.0,0.93,0.35,0.42,0.8,0.64,0.0
chr1_236894307,0.44,0.0,0.47,0.0,0.0,0.0,0.0,0.38,0.42,0.0,0.0,0.41,0.45,0.0,0.0,0.38,0.47,0.43,0.9,0.42,0.0,0.0,0.43,0.0,0.0,1.0,0.48,0.5,0.55,0.43,0.44,0.96,0.93,0.45,0.43,0.51,0.9,0.0,0.94,0.0
chr20_3765668,0.06,0.0,0.24,0.03,0.17,0.13,0.16,0.24,0.12,0.08,0.42,0.0,0.11,0.07,0.11,0.05,0.34,0.16,0.25,0.25,0.12,0.22,0.19,0.5,0.41,0.16,0.29,0.22,0.25,0.29,0.3,0.13,0.5,0.2,0.16,0.12,0.24,0.41,0.23,0.06
chr4_119069785,0.5,0.51,0.8,0.85,0.32,0.8,0.84,0.47,0.3,0.82,0.91,0.5,0.48,0.92,0.87,0.01,0.53,0.38,0.93,0.53,0.0,0.42,0.43,0.42,0.0,0.42,0.52,0.28,0.0,0.92,0.88,0.87,0.42,0.02,0.0,0.39,0.8,0.0,0.49,0.33
chr12_30965360,0.76,0.71,0.46,0.82,0.7,0.62,0.5,0.7,0.62,0.43,0.43,0.85,0.8,0.26,0.74,0.71,0.87,0.68,0.72,0.83,0.3,0.59,0.62,0.25,0.36,0.33,0.35,0.69,0.76,0.23,0.0,0.75,0.24,0.4,0.32,0.42,0.75,0.31,0.65,0.73
chr19_30927782,0.79,0.92,0.62,0.74,0.32,0.76,0.84,0.78,0.42,0.84,0.48,0.78,0.66,0.72,0.56,0.63,0.67,0.79,0.68,0.75,0.6,0.83,0.68,0.31,0.56,0.81,0.7,0.8,0.61,0.85,0.14,0.75,0.66,0.3,0.21,0.47,0.68,0.68,0.0,0.62
chr1_43621160,0.0,0.48,0.08,0.5,0.0,0.51,0.58,0.0,0.68,0.52,0.41,0.0,0.0,0.0,0.43,0.38,0.0,0.4,0.87,0.0,0.0,0.0,0.01,0.42,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54
chr10_62372032,0.34,0.0,0.0,0.8,0.4,0.33,0.9,0.41,0.47,0.38,0.0,0.4,0.44,0.0,0.38,0.94,0.9,0.41,0.57,0.6,0.0,0.0,0.35,0.42,0.94,0.0,0.32,0.0,0.0,0.0,0.0,0.88,0.0,0.04,0.0,0.45,0.42,0.0,0.0,0.21
chr5_137661163,0.93,0.9,0.79,0.92,0.0,0.88,0.46,0.0,0.46,1.0,0.46,0.58,0.94,0.55,0.87,0.0,0.44,0.52,0.43,0.46,0.4,0.8,0.91,0.66,0.42,0.96,0.97,0.92,0.92,1.0,0.94,0.92,0.96,0.91,1.0,0.48,0.42,0.91,0.92,0.83
chr14_91943916,0.81,0.0,0.84,0.47,0.0,0.0,0.55,0.55,0.51,0.77,0.43,0.0,0.68,0.0,0.57,0.51,0.91,0.48,0.62,0.5,0.88,0.72,0.56,0.59,0.48,0.53,0.94,0.58,0.57,0.71,0.91,0.61,0.88,0.53,0.64,0.51,0.54,0.69,0.86,0.0
chr2_111618338,0.0,0.0,0.32,0.38,0.0,0.0,0.0,0.0,0.0,0.35,0.48,0.82,0.38,0.0,0.0,0.0,0.95,0.54,0.46,0.0,0.42,0.77,0.86,0.47,0.33,0.0,0.25,0.78,0.25,0.92,0.4,0.78,0.51,0.36,0.35,0.4,0.42,0.45,0.83,0.0
chr17_827722,0.53,0.81,0.55,0.92,0.45,0.55,0.95,0.92,0.82,0.94,0.89,0.43,0.89,0.54,0.86,0.82,0.77,0.94,0.5,0.67,0.0,0.93,0.57,0.92,0.88,0.65,0.56,0.0,0.85,0.32,0.0,0.91,0.92,0.37,0.47,0.88,0.48,0.95,0.87,0.82
chr5_180316637,0.75,0.93,0.67,0.36,0.93,0.43,0.89,0.38,1.0,0.89,0.48,0.84,0.87,0.92,0.84,0.36,0.47,1.0,0.87,0.95,0.87,0.84,0.89,0.8,0.8,0.96,0.9,0.91,0.84,0.4,0.94,0.92,0.96,0.86,0.77,0.88,0.89,0.83,0.81,0.85
chr1_2873407,0.78,0.8,0.5,0.9,0.8,0.0,0.3,0.85,0.0,0.36,0.81,0.0,0.91,0.84,0.35,0.47,0.85,0.0,0.0,0.0,0.0,0.72,0.0,0.0,0.45,0.45,0.37,0.47,0.0,0.88,0.0,0.38,0.18,0.52,0.58,0.0,0.0,0.46,0.0,0.0
chr7_155820590,0.48,0.89,0.76,0.41,0.48,0.83,0.48,0.56,0.23,0.85,0.38,0.54,0.47,0.0,0.38,0.38,0.54,0.52,0.64,0.43,0.0,0.39,0.86,0.54,0.91,0.43,0.84,0.0,0.51,0.68,0.84,0.89,0.95,0.86,0.96,0.88,0.86,0.83,0.93,0.83
chr3_194852629,0.86,0.83,0.53,0.34,0.91,0.43,0.91,0.42,0.0,0.89,0.51,0.96,0.89,0.75,0.0,0.54,0.76,0.47,0.73,0.33,0.47,0.74,0.86,0.87,0.8,0.95,0.4,0.88,0.33,0.8,0.85,0.84,0.91,0.87,0.89,0.45,0.81,0.42,0.86,0.79
chr20_25581009,0.86,0.46,0.44,0.94,0.45,0.82,0.44,0.79,0.46,0.96,0.91,0.32,0.36,0.47,0.78,0.57,0.9,0.0,0.97,0.4,0.0,0.0,0.4,0.35,0.34,0.54,0.48,0.5,0.84,0.0,0.54,0.92,0.88,0.43,0.33,0.91,0.88,0.51,0.53,0.43
chr15_71275063,0.75,0.7,0.75,0.4,0.52,0.29,0.72,0.48,0.26,0.77,0.83,0.7,0.87,0.0,0.81,0.58,0.31,0.26,0.8,0.87,0.34,0.51,0.36,0.31,0.78,0.51,0.46,0.36,0.27,0.37,0.75,0.44,0.77,0.0,0.76,0.85,0.0,0.4,0.36,0.76
chr8_102550952,0.0,0.6,0.25,0.0,1.0,0.0,0.48,0.44,0.0,0.45,0.35,0.47,0.5,0.0,0.0,0.38,0.0,0.56,0.53,0.51,0.86,0.0,0.87,0.85,0.38,0.92,0.43,0.44,0.0,0.0,0.45,0.48,0.96,0.48,0.51,0.0,0.72,0.43,0.38,0.0
chr16_677066,0.6427027027027028,0.5,0.72,0.77,0.9,0.6427027027027028,0.59,0.55,0.58,0.6,0.76,0.77,0.89,0.86,0.47,0.9,0.6427027027027028,0.81,0.88,0.73,0.81,0.49,0.66,0.72,0.84,0.48,0.69,0.48,0.83,0.6,0.56,0.2,0.67,0.64,0.5,0.36,0.14,0.63,0.5,0.7
chr14_94707163,0.68,0.64,0.47,0.25,0.0,0.77,0.87,0.75,0.8,0.88,0.38,0.73,0.46,0.77,0.46,0.81,0.5336111111111111,0.3,0.5336111111111111,0.7,0.71,0.0,0.65,0.3,0.5336111111111111,0.35,0.9,0.84,0.66,0.33,0.44,0.31,0.65,0.5336111111111111,0.46,0.66,0.21,0.61,0.0,0.41
chr21_43302095,0.75,1.0,0.75,0.94,0.84,0.88,0.73,0.77,0.86,0.92,0.84,0.83,0.88,1.0,0.79,0.9,0.8246153846153847,0.91,1.0,0.86,0.81,0.59,0.71,0.88,0.66,0.9,0.87,0.78,0.9,0.7,0.74,0.86,0.93,0.85,0.57,0.85,0.62,0.78,0.81,0.9
chr8_95181670,0.03,0.0,0.1,0.0,0.04,0.11,0.12,0.05,0.05,0.04,0.15,0.04,0.08,0.08,0.13,0.05,0.0,0.0,0.07,0.07,0.06,0.19,0.17,0.19,0.0,0.05,0.36,0.0,0.1,0.2,0.12,0.13,0.47,0.10263157894736842,0.10263157894736842,0.03,0.2,0.28,0.14,0.0
chr17_6655339,0.04,0.05,0.12,0.72,0.72,0.92,0.5,0.95,0.52,0.36,0.75,0.61,0.42,0.92,0.41,0.88,0.81,0.61,0.29,0.91,0.81,0.48,0.5,0.81,0.06,0.15,0.2,0.29,0.47,0.13,0.01,0.08,0.54,0.42,0.4,0.16,0.5,0.39,0.44,0.3
chr2_9388097,0.87,0.93,0.88,0.97,0.96,0.84,0.88,0.88,0.92,0.96,0.87,1.0,0.97,0.94,0.52,0.96,1.0,0.79,0.87,0.96,0.88,0.73,0.54,0.94,0.77,0.94,0.95,0.34,0.86,0.53,0.98,0.85,0.52,0.9,1.0,0.45,0.9,0.91,0.0,0.84
chr19_38557493,0.08,0.13,0.04,0.0,0.09,0.42,0.17,0.52,0.0,0.0,0.28,0.03,0.1,0.12,0.2,0.19,0.06,0.0,0.13,0.0,0.64,0.2,0.07,0.28,0.25,0.05,0.65,0.03,0.16,0.71,0.4,0.3,0.4,0.52,0.05,0.07,0.11,0.37,0.1,0.04
chr4_184812162,0.15,0.09,0.08,0.0,0.3,0.35,0.2,0.28,0.15,0.16,0.16,0.0,0.2,0.07,0.54,0.21,0.44,0.27,0.41,0.27052631578947367,0.16,0.33,0.39,0.56,0.12,0.34,0.38,0.13,0.28,0.4,0.52,0.35,0.5,0.46,0.27052631578947367,0.18,0.5,0.35,0.27,0.0
chr10_38356275,0.06,0.15,0.1,0.04,0.66,0.61,0.0,0.18861111111111112,0.0,0.0,0.08,0.6,0.11,0.0,0.04,0.0,0.3,0.18861111111111112,0.93,0.47,0.09,0.23,0.18,0.42,0.33,0.04,0.0,0.16,0.18861111111111112,0.1,0.1,0.0,0.21,0.18861111111111112,0.11,0.22,0.04,0.25,0.0,0.16
chr8_141616843,0.05,0.1,0.08,0.07,0.17,0.13,0.2,0.18,0.22,0.05,0.09,0.29,0.24,0.18,0.2,0.07,0.19,0.24,0.28,0.32,0.13,0.21,0.1,0.09,0.16,0.05,0.1,0.1,0.03,0.06,0.09,0.1,0.09,0.05,0.06,0.15,0.14,0.09,0.04,0.23
chr17_6655337,0.04,0.1,0.12,0.72,0.75,0.88,0.48,0.95,0.61,0.39,0.71,0.6,0.44,0.88,0.27,0.88,0.81,0.7,0.35,0.91,0.83,0.47,0.55,0.78,0.0,0.18,0.27,0.29,0.52,0.0,0.08,0.1,0.52,0.42,0.45,0.2,0.56,0.4,0.41,0.3
chr8_143307499,0.82,0.96,0.36,0.01,0.89,0.05,0.84,0.23,0.95,0.91,0.02,0.18,0.04,0.39,0.01,0.42,0.37,0.04,0.39,0.88,0.01,0.7,0.87,0.04,0.79,0.34,0.85,0.83,0.82,0.72,0.84,0.43,0.86,0.36,0.9,0.43,0.82,0.41,0.42,0.46
chr20_53875670,0.23,0.1,0.31,0.11,0.33,0.75,0.3,0.62,0.27,0.48,0.29,0.21,0.11,0.23,0.5,0.39,0.57,0.16,0.43,0.22,0.25,0.46,0.4,0.73,0.43,0.36,0.67,0.44,0.5,0.4,0.71,0.36,0.77,0.56,0.22,0.36,0.57,0.42,0.37,0.06
chr22_43155401,0.47,0.75,0.4,0.46,0.7,0.77,0.6,0.47,0.17,0.41,0.85,0.55,0.8,0.83,0.3,0.61,0.31,0.69,0.69,0.45,0.77,0.38,0.93,0.85,0.73,0.74,0.32,0.28,0.6,0.68,0.79,0.88,0.77,0.6338461538461538,0.86,0.5,0.89,0.71,1.0,0.76
chr9_136418197,0.78,0.86,0.71,0.76,0.73,0.6,0.76,0.72,0.72,0.87,0.65,0.82,0.85,0.69,0.68,0.8,0.75,0.58,0.81,0.7,0.63,0.53,0.63,0.69,0.66,0.73,0.43,0.61,0.61,0.83,0.61,0.69,0.7,0.66,0.6974358974358974,0.8,0.68,0.64,0.57,0.66
chr17_82859191,0.4,0.52,0.42,0.68,0.84,0.74,0.68,0.41,0.0,0.78,0.43,0.03,0.4,0.46,0.79,0.42,0.0,0.5,0.33,0.8,0.33,0.02,0.26,0.31,0.41,0.06,0.77,0.02,0.0,0.0,0.28,0.04,0.02,0.52,0.33,0.47,0.02,0.48,0.05,0.0
chr6_72640067,0.78,0.87,0.88,0.81,0.91,0.83,0.83,0.88,0.86,0.88,0.94,1.0,0.89,0.86,0.8,1.0,0.92,0.85,0.96,0.93,0.85,0.5,0.92,0.61,0.78,0.63,0.86,0.88,0.72,0.97,0.87,0.91,0.6,0.86,0.81,0.83,0.81,0.77,0.76,0.83
chr18_24187268,0.03,0.0,0.05,0.0,0.08,0.25,0.1,0.23,0.05,0.0,0.0,0.08,0.0,0.0,0.15,0.22,0.15,0.15,0.17,0.07,0.0,0.4,0.2,0.48,0.4,0.08,0.21,0.1,0.27,0.25,0.31,0.14,0.46,0.11,0.04,0.16,0.26,0.34,0.11,0.0
chr10_102226921,0.16,0.05,0.11,0.04,0.07,0.17,0.1,0.21,0.0,0.0,0.1,0.0,0.0,0.08,0.2,0.09,0.41,0.22,0.15,0.12,0.09,0.14,0.15,0.39,0.24,0.1,0.36,0.1,0.28,0.15,0.26,0.12,0.4,0.3,0.16,0.2,0.24,0.31,0.23,0.0
chr11_64206897,0.11,0.0,0.0,0.05,0.07,0.16,0.0,0.0,0.07,0.0,0.12,0.0,0.0,0.05,0.15,0.0848717948717949,0.05,0.0,0.0,0.0,0.05,0.03,0.07,0.17,0.15,0.01,0.35,0.0,0.2,0.0,0.09,0.14,0.31,0.16,0.08,0.16,0.14,0.25,0.12,0.0
chr17_29116911,0.08,0.2061538461538462,0.05,0.0,0.2,0.33,0.12,0.16,0.2,0.08,0.1,0.04,0.0,0.0,0.24,0.15,0.15,0.33,0.31,0.12,0.17,0.33,0.28,0.37,0.28,0.1,0.36,0.1,0.3,0.35,0.31,0.28,0.54,0.36,0.21,0.18,0.33,0.32,0.21,0.0
chr14_72876869,0.41,0.4,0.47,0.76,0.33,0.48,0.44,0.82,0.5,0.5,0.31,0.48,0.0,0.0,0.61,0.0,0.47,0.57,0.34,0.51,0.0,0.37,0.31,0.68,0.34,0.85,0.89,0.91,0.44,0.5,0.44,0.79,0.4,0.4,0.5,0.77,0.86,0.39,0.91,0.81
chr7_150341875,0.55,0.5,0.31,0.35,0.63,0.54,0.33,0.65,0.7,0.25,0.34,0.56,0.8,0.48,0.6,0.52,0.6,0.66,0.72,0.75,0.5,0.53,0.33,0.3,0.44,0.69,0.45,0.53,0.35,0.54,0.41,0.48,0.47,0.3,0.5,0.31,0.44,0.55,0.2,0.37
chr6_74850625,0.81,0.89,0.42,0.53,0.82,0.39,0.88,0.83,0.78,0.85,0.89,0.94,0.82,0.9,0.82,0.81,0.37,0.8,0.47,0.9,0.77,0.35,0.0,0.44,0.37,0.88,0.82,0.48,0.76,0.79,0.72,0.56,0.45,0.8,0.0,0.85,0.76,0.79,0.84,0.48
chr2_65579827,0.0,0.52,0.0,0.47,1.0,0.0,0.0,0.0,0.32,0.44,0.95,0.51,0.0,0.42,0.22763157894736843,0.36,0.0,0.0,0.61,0.35,0.0,0.22763157894736843,0.0,0.0,0.0,0.4,0.59,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.05,0.68,0.0,0.0
chr11_119084681,0.09,0.5,0.17,0.28,0.05,0.09,0.18,0.39,0.28,0.5,0.54,0.38,0.45,0.14,0.07,0.25,0.14,0.18,0.69,0.33,0.05,0.0,0.11,0.16,0.23,0.17,0.13,0.22,0.0,0.23,0.13,0.15,0.1,0.14,0.14,0.21,0.03,0.1,0.08,0.16
chr16_3963369,0.42,0.5,0.41,0.67,0.5,0.42,0.43,0.54,0.68,0.41,0.34,0.3,0.48,0.38,0.38,0.45,0.39,0.47,0.5,0.22,0.37,0.36,0.32,0.46,0.56,0.41,0.43,0.61,0.56,0.72,0.48,0.7,0.65,0.69,0.39,0.64,0.75,0.78,0.52,0.51
chr8_144426504,0.0,0.0,0.05,0.14,0.1,0.07,0.57,0.33,0.0,0.86,0.95,0.05,0.40864864864864864,0.40864864864864864,0.29,0.23,0.91,0.0,0.28,0.85,0.47,0.71,0.66,0.03,0.57,0.05,0.72,0.81,0.40864864864864864,0.9,0.85,0.03,0.87,0.69,0.76,0.35,0.47,0.12,0.38,0.0
chr5_98576447,0.0,0.34,0.39,0.0,0.05,0.01,0.0,0.0,0.42,0.33,0.43,0.01,0.0,0.49,0.34,0.45,0.47,0.25,0.41,0.0,0.38,0.74,0.48,0.0,0.51,0.48,0.43,0.48,0.44,0.66,0.0,0.03,0.48,0.85,0.74,0.49,0.07,0.45,0.05,0.32
chr22_49178490,0.76,0.94,0.77,0.73,0.74,0.73,0.84,0.83,0.4,0.44,0.84,0.87,0.77,0.85,0.24,0.7,0.83,0.66,0.75,0.45,0.72,0.51,0.39,0.73,0.36,0.34,0.44,0.81,0.3,0.8,0.7,0.4,0.0,0.5,0.2,0.4,0.77,0.8,0.77,0.7
chr19_55326908,0.11,0.3176315789473684,0.2,0.11,0.4,0.44,0.12,0.31,0.14,0.26,0.45,0.3,0.05,0.23,0.37,0.18,0.3176315789473684,0.27,0.23,0.33,0.26,0.34,0.38,0.65,0.25,0.21,0.54,0.33,0.45,0.38,0.52,0.12,0.55,0.26,0.45,0.33,0.37,0.5,0.52,0.16
chr1_145720925,0.42,0.45,0.63,0.55,0.56,0.47,0.36,0.52,0.37,0.35,0.41,0.41,0.4,0.42,0.35,0.6,0.61,0.3,0.2,0.69,0.32,0.38,0.24,0.43,0.34,0.3,0.43,0.33,0.19,0.22,0.34,0.16,0.45,0.44,0.12,0.48,0.27,0.5,0.54,0.3
chr10_127906071,0.47,0.36,0.82,0.52,0.21,0.59,0.45,0.53,0.0,0.68,0.88,0.85,0.04,0.8,0.84,0.68,0.17,0.72,0.4,0.89,0.15,0.73,0.63,0.75,0.2,0.09,0.6,0.38,0.46615384615384614,0.05,0.26,0.11,0.45,0.35,0.14,0.09,0.51,0.6,0.83,0.36
chr3_36945501,0.0,0.87,0.3,0.75,0.39,0.52,0.22,0.8,0.47,0.3,0.47,0.0,0.45,0.63,0.0,0.61,0.41,0.0,0.55,0.5,0.0,0.37,0.4,0.0,0.41,0.0,0.0,0.28,0.0,0.0,0.0,0.68,0.32,0.52,0.48,0.35,0.29,0.7,0.37,0.16
chr12_95551562,0.71,0.6,0.8,0.78,0.72,0.8,0.75,0.66,0.81,0.88,0.83,0.87,0.83,0.67,0.79,0.73,0.7,0.6,0.78,0.54,0.69,0.36,0.67,0.51,0.67,0.72,0.59,0.66,0.59,0.75,0.73,0.59,0.68,0.53,0.8,0.85,0.31,0.52,0.49,0.63
chr1_4689015,0.64,0.66,0.73,0.73,0.66,0.0,0.0,0.45,0.53,0.0,0.0,0.23,0.0,0.34,0.26,0.0,0.28,0.4,0.55,0.31,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.75,0.15,0.39,0.0,0.36,0.0,0.0,0.47,0.5,0.2,0.0,0.38
chr20_37701918,0.25,0.0,0.02,0.0,0.2,0.33,0.12,0.4,0.06,0.14,0.17,0.02,0.04,0.19,0.37,0.27,0.33,0.13,0.3,0.07,0.03,0.42,0.28,0.52,0.27,0.0,0.46,0.18,0.14,0.29,0.43,0.24,0.33,0.33,0.18,0.12,0.38,0.53,0.26,0.0
chr10_132964247,0.87,0.88,0.42,0.4,0.0,0.46,0.0,0.85,0.66,0.48,0.79,0.47,0.52,0.43,0.02,0.42,0.0,0.63,0.51,0.91,0.35,0.83,0.49,0.92,0.76,0.92,0.86,0.0,0.5,0.0,0.46,0.35,0.58,0.66,0.89,0.89,0.81,0.75,0.32,0.0
chr7_4204126,0.45,0.62,0.76,0.85,0.95,0.58,0.51,0.8,1.0,0.0,0.86,0.9,0.45,0.81,0.44,0.95,0.4,0.37,0.8,0.72,0.0,0.5,0.84,0.78,0.0,0.5866666666666667,0.64,0.78,0.5,0.47,0.0,0.95,0.46,0.5,0.35,0.34,0.88,0.48,0.44,0.75
chr11_3232740,0.78,0.95,0.79,0.84,0.88,0.87,0.9,0.86,0.91,0.44,0.85,0.85,0.92,0.9,0.8,0.89,0.64,0.84,0.85,0.91,0.81,0.83,0.51,0.82,0.85,0.56,0.51,0.69,0.41,0.79,0.78,0.75,0.85,0.75,0.82,0.88,0.82,0.48,0.9,0.76
chr19_18869487,0.08,0.3,0.35,0.2,0.57,0.42,0.21,0.44,0.45,0.57,0.03,0.48,0.29,0.14,0.05,0.14,0.31,0.13,0.21,0.12,0.2,0.44,0.08,0.22,0.21,0.18,0.14,0.03,0.21,0.0,0.03,0.29,0.3,0.27,0.22,0.15,0.1,0.1,0.05,0.31
chr22_20592116,0.38,0.5,0.88,0.25,0.96,0.41,0.36,0.91,0.43,0.45,0.52,0.89,0.85,0.55,0.46,0.96,0.94,0.41,0.45,0.91,0.76,0.81,0.92,0.89,0.87,0.93,0.9,0.57,0.92,0.58,0.44,0.93,0.9,0.46,0.78,0.53,0.8,0.86,0.89,0.45
chr16_88229568,0.16,0.14,0.16,0.52,0.28,0.77,0.2,0.13,0.29,0.13,0.22,0.17,0.27,0.2,0.15,0.2,0.21,0.58,0.4,0.7,0.22,0.23,0.17,0.1,0.13,0.28,0.18,0.18,0.1,0.2,0.17,0.19,0.2,0.23,0.17,0.13,0.18,0.18,0.18,0.53
chr14_102779923,0.25,0.1,0.04,0.0,0.06,0.21,0.18,0.24,0.02,0.05,0.14,0.0,0.0,0.12,0.09,0.17,0.1,0.2,0.3,0.08,0.08,0.15,0.22,0.36,0.27,0.0,0.19,0.1,0.3,0.22,0.3,0.09,0.47,0.25,0.37,0.11,0.48,0.32,0.24,0.0
chr1_29203431,0.87,0.38,0.93,0.82,0.95,1.0,0.0,1.0,1.0,1.0,0.55,0.43,0.88,0.6,0.34,0.92,0.5,0.0,0.85,0.87,0.88,0.38,0.84,0.43,0.4,0.92,0.95,0.93,0.0,1.0,0.0,0.23,0.5,0.29,0.0,0.88,0.28,0.0,0.0,0.75
